,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Michael Jordan,27,CHI,476,480,0.992,94,,,82,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321
1st,G,Magic Johnson,31,LAL,472,480,0.983,93,,,79,37.1,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,15.4,0.251
1st,F,Karl Malone,27,UTA,464,480,0.967,88,,,82,40.3,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,0.225
1st,C,David Robinson,25,SAS,458,480,0.954,87,,,82,37.7,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,0.264
1st,F,Charles Barkley,27,PHI,452,480,0.942,82,,,67,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,0.258
2nd,C,Patrick Ewing,28,NYK,240,480,0.5,7,,,81,38.3,26.6,11.2,3,1,3.2,0.514,0,0.745,10,0.155
2nd,F,Dominique Wilkins,31,ATL,224,480,0.467,11,,,81,38,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,0.177
2nd,G,Kevin Johnson,24,PHO,212,480,0.442,3,,,77,36,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,0.22
2nd,G,Clyde Drexler,28,POR,202,480,0.421,2,,,82,34.8,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,0.209
2nd,F,Chris Mullin,27,GSW,141,480,0.294,1,,,82,40.4,25.7,5.4,4,2.1,0.8,0.536,0.301,0.884,12.2,0.176
3rd,G,John Stockton,28,UTA,160,480,0.333,0,,,82,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14,0.217
3rd,F,James Worthy,29,LAL,117,480,0.244,2,,,78,38.6,21.4,4.6,3.5,1.3,0.4,0.492,0.289,0.797,9,0.143
3rd,F,Bernard King,34,WSB,111,480,0.231,3,,,64,37.5,28.4,5,4.6,0.9,0.3,0.472,0.216,0.79,3.5,0.07
3rd,C,Hakeem Olajuwon,28,HOU,100,480,0.208,2,,,56,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0,0.769,8.6,0.201
3rd,G,Joe Dumars,27,DET,61,480,0.127,0,,,80,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,0.155
ORV,F,Larry Bird,34,BOS,104,480,0.217,4,,,60,38,19.4,8.5,7.2,1.8,1,0.454,0.389,0.891,6.6,0.14
ORV,G,Tim Hardaway,24,GSW,53,480,0.11,0,,,82,39.2,22.9,4,9.7,2.6,0.1,0.476,0.385,0.803,9.9,0.148
ORV,C,Robert Parish,37,BOS,47,480,0.098,0,,,81,30.1,14.9,10.6,0.8,0.8,1.3,0.598,0,0.767,10,0.198
ORV,G,Terry Porter,27,POR,32,480,0.067,0,,,81,32.9,17,3.5,8,2,0.1,0.515,0.415,0.823,13,0.235
ORV,F,Otis Thorpe,28,HOU,25,480,0.052,0,,,82,37.1,17.5,10.3,2.4,0.9,0.2,0.556,0.429,0.696,10.4,0.164
ORV,F,Scottie Pippen,25,CHI,22,480,0.046,0,,,82,36.8,17.8,7.3,6.2,2.4,1.1,0.52,0.309,0.706,11.2,0.179
ORV,G,Mitch Richmond,25,GSW,19,480,0.04,0,,,77,39.3,23.9,5.9,3.1,1.6,0.4,0.494,0.348,0.847,7.1,0.113
ORV,F,Buck Williams,30,POR,19,480,0.04,0,,,80,32.3,11.7,9.4,1.2,0.6,0.6,0.602,,0.705,8.5,0.158
ORV,C,Brad Daugherty,25,CLE,18,480,0.038,0,,,76,38.8,21.6,10.9,3.3,1,0.6,0.524,0,0.751,9,0.147
ORV,F,Dennis Rodman,29,DET,18,480,0.038,0,,,82,33.5,8.2,12.5,1,0.8,0.7,0.493,0.2,0.631,8.7,0.151
ORV,G,Reggie Miller,25,IND,16,480,0.033,0,,,82,36.2,22.6,3.4,4,1.3,0.2,0.512,0.348,0.918,12.5,0.202
ORV,F,Kevin McHale,33,BOS,13,480,0.027,0,,,68,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,0.182
ORV,G,Michael Adams,28,DEN,9,480,0.019,0,,,66,35.5,26.5,3.9,10.5,2.2,0.1,0.394,0.296,0.879,6.3,0.128
ORV,F,Lionel Simmons,22,SAC,6,480,0.012,1,0,1,79,37.7,18,8.8,4,1.4,1.1,0.422,0.273,0.736,2.7,0.044
ORV,G,Hersey Hawkins,24,PHI,4,480,0.008,0,,,80,38.9,22.1,3.9,3.7,2.2,0.5,0.472,0.4,0.871,9.8,0.151
ORV,G,Isiah Thomas,29,DET,4,480,0.008,0,,,48,34.5,16.2,3.3,9.3,1.6,0.2,0.435,0.292,0.782,3.4,0.098
ORV,F,Tom Chambers,31,PHO,3,480,0.006,0,,,76,32.6,19.9,6.4,2.6,0.9,0.7,0.437,0.274,0.826,5.4,0.105
ORV,G,Alvin Robertson,28,MIL,3,480,0.006,0,,,81,32.1,13.6,5.7,5.5,3,0.2,0.485,0.365,0.757,7.7,0.142
ORV,F,Charles Smith,25,LAC,3,480,0.006,0,,,74,36.5,20,8.2,1.8,1.1,2,0.469,0,0.793,7.4,0.131
ORV,G,Kenny Smith,25,HOU,3,480,0.006,0,,,78,34.6,17.7,2.1,7.1,1.4,0.1,0.52,0.363,0.844,9,0.161
ORV,F,Horace Grant,25,CHI,2,480,0.004,0,0,2,78,33.9,12.8,8.4,2.3,1.2,0.9,0.547,0.167,0.711,10.3,0.188
ORV,F,Larry Nance,31,CLE,2,480,0.004,0,0,2,80,36.6,19.2,8.6,3,0.8,2.5,0.524,0.25,0.803,9.8,0.16
ORV,F,Derrick Coleman,23,NJN,1,480,0.002,0,0,1,74,35.2,18.4,10.3,2.2,1,1.3,0.467,0.342,0.731,5.8,0.108
ORV,C,Kevin Duckworth,26,POR,1,480,0.002,0,0,1,81,31,15.8,6.6,1.1,0.4,0.4,0.481,0,0.772,4.3,0.082
ORV,G,Derek Harper,29,DAL,1,480,0.002,0,0,1,77,37.4,19.7,3,7.1,1.9,0.2,0.467,0.362,0.731,7.6,0.127
ORV,G,Jeff Hornacek,27,PHO,1,480,0.002,0,0,1,80,34.2,16.9,4,5.1,1.4,0.2,0.518,0.418,0.897,9.7,0.171
ORV,F,Jerome Kersey,28,POR,1,480,0.002,0,0,1,73,32.3,14.8,6.6,3.1,1.4,1,0.478,0.308,0.709,6.7,0.136
